ID,Name,Category,State,Region,Latitude,Longitude,Security_Level,Buffer_Zone_Km,Source,Description
1,Chhattisgarh Sensitive Installation,Prohibited Place under Official Secrets Act,Chhattisgarh,Central,21.2787,81.8661,High,0,MHA Notification under Official Secrets Act 1923,One of 10 sensitive installations declared prohibited
2,Dantewada District,Conflict-Prone Region - Naxal Affected,Chhattisgarh,Central,18.8833,81.35,High,5,South Asia Terrorism Portal,High Naxal activity area
3,Bijapur District,Conflict-Prone Region - Naxal Affected,Chhattisgarh,Central,19.1,80.7,High,5,South Asia Terrorism Portal,High Naxal activity area
4,Sukma District,Conflict-Prone Region - Naxal Affected,Chhattisgarh,Central,18.3833,81.6667,High,5,South Asia Terrorism Portal,High Naxal activity area
5,Madhya Pradesh Sensitive Installation 1,Prohibited Place under Official Secrets Act,Madhya Pradesh,Central,23.2599,77.4126,High,0,MHA Notification under Official Secrets Act 1923,One of 2 sensitive installations in Madhya Pradesh
6,Madhya Pradesh Sensitive Installation 2,Prohibited Place under Official Secrets Act,Madhya Pradesh,Central,24.6333,77.95,High,0,MHA Notification under Official Secrets Act 1923,Second sensitive installation in Madhya Pradesh
7,Bihar Sensitive Installation 1,Prohibited Place under Official Secrets Act,Bihar,Eastern,25.0961,85.3131,High,0,MHA Notification under Official Secrets Act 1923,One of 2 sensitive installations in Bihar
8,Bihar Sensitive Installation 2,Prohibited Place under Official Secrets Act,Bihar,Eastern,25.5941,85.1376,High,0,MHA Notification under Official Secrets Act 1923,Second sensitive installation in Bihar
9,Malkangiri District,Conflict-Prone Region - Naxal Affected,Odisha,Eastern,18.35,81.9,High,5,South Asia Terrorism Portal,High Naxal activity area
10,Kandhamal District,Conflict-Prone Region - Naxal Affected,Odisha,Eastern,20.15,84.1167,Medium-High,3,South Asia Terrorism Portal,Naxal affected area
11,Koraput District,Conflict-Prone Region - Naxal Affected,Odisha,Eastern,18.8167,82.7167,Medium-High,3,South Asia Terrorism Portal,Naxal affected area
12,India-Bangladesh Border - West Bengal,International Border Zone,West Bengal,Eastern,22.9868,88.4643,Medium-High,25,BSF Border Documentation,International border with Bangladesh
13,Andaman & Nicobar Islands,Restricted Area - Union Territory,Andaman & Nicobar Islands,Island Territory,11.7401,92.6586,High,0,MHA Restricted Areas Order 1963,Entire Union Territory under restricted regime
